Grid Name,"Min Latitude, Min Longitude","Max Latitude, Max Longitude"
FU,"(33.34615384615385, 130.15384615384616)","(33.61538461538461, 130.46153846153845)"
FV,"(33.34615384615385, 130.46153846153845)","(33.61538461538461, 130.76923076923077)"
FW,"(33.34615384615385, 130.76923076923077)","(33.61538461538461, 131.07692307692307)"
FX,"(33.34615384615385, 131.07692307692307)","(33.61538461538461, 131.3846153846154)"
FY,"(33.34615384615385, 131.3846153846154)","(33.61538461538461, 131.69230769230768)"
FZ,"(33.34615384615385, 131.69230769230768)","(33.61538461538461, 132.0)"
GA,"(33.61538461538461, 124.0)","(33.88461538461539, 124.3076923076923)"
GB,"(33.61538461538461, 124.3076923076923)","(33.88461538461539, 124.61538461538461)"
GC,"(33.61538461538461, 124.61538461538461)","(33.88461538461539, 124.92307692307692)"
GD,"(33.61538461538461, 124.92307692307692)","(33.88461538461539, 125.23076923076923)"
GE,"(33.61538461538461, 125.23076923076923)","(33.88461538461539, 125.53846153846153)"
GF,"(33.61538461538461, 125.53846153846153)","(33.88461538461539, 125.84615384615384)"
GG,"(33.61538461538461, 125.84615384615384)","(33.88461538461539, 126.15384615384616)"
GH,"(33.61538461538461, 126.15384615384616)","(33.88461538461539, 126.46153846153847)"
GI,"(33.61538461538461, 126.46153846153847)","(33.88461538461539, 126.76923076923077)"
GJ,"(33.61538461538461, 126.76923076923077)","(33.88461538461539, 127.07692307692308)"
GK,"(33.61538461538461, 127.07692307692308)","(33.88461538461539, 127.38461538461539)"
GL,"(33.61538461538461, 127.38461538461539)","(33.88461538461539, 127.6923076923077)"
GM,"(33.61538461538461, 127.6923076923077)","(33.88461538461539, 128.0)"
GN,"(33.61538461538461, 128.0)","(33.88461538461539, 128.30769230769232)"
GO,"(33.61538461538461, 128.30769230769232)","(33.88461538461539, 128.6153846153846)"
GP,"(33.61538461538461, 128.6153846153846)","(33.88461538461539, 128.92307692307693)"
GQ,"(33.61538461538461, 128.92307692307693)","(33.88461538461539, 129.23076923076923)"
GR,"(33.61538461538461, 129.23076923076923)","(33.88461538461539, 129.53846153846155)"
GS,"(33.61538461538461, 129.53846153846155)","(33.88461538461539, 129.84615384615384)"
GT,"(33.61538461538461, 129.84615384615384)","(33.88461538461539, 130.15384615384616)"
GU,"(33.61538461538461, 130.15384615384616)","(33.88461538461539, 130.46153846153845)"
GV,"(33.61538461538461, 130.46153846153845)","(33.88461538461539, 130.76923076923077)"
GW,"(33.61538461538461, 130.76923076923077)","(33.88461538461539, 131.07692307692307)"
GX,"(33.61538461538461, 131.07692307692307)","(33.88461538461539, 131.3846153846154)"
GY,"(33.61538461538461, 131.3846153846154)","(33.88461538461539, 131.69230769230768)"
GZ,"(33.61538461538461, 131.69230769230768)","(33.88461538461539, 132.0)"
HA,"(33.88461538461539, 124.0)","(34.15384615384615, 124.3076923076923)"
HB,"(33.88461538461539, 124.3076923076923)","(34.15384615384615, 124.61538461538461)"
HC,"(33.88461538461539, 124.61538461538461)","(34.15384615384615, 124.92307692307692)"
HD,"(33.88461538461539, 124.92307692307692)","(34.15384615384615, 125.23076923076923)"
HE,"(33.88461538461539, 125.23076923076923)","(34.15384615384615, 125.53846153846153)"
HF,"(33.88461538461539, 125.53846153846153)","(34.15384615384615, 125.84615384615384)"
HG,"(33.88461538461539, 125.84615384615384)","(34.15384615384615, 126.15384615384616)"
HH,"(33.88461538461539, 126.15384615384616)","(34.15384615384615, 126.46153846153847)"
HI,"(33.88461538461539, 126.46153846153847)","(34.15384615384615, 126.76923076923077)"
HJ,"(33.88461538461539, 126.76923076923077)","(34.15384615384615, 127.07692307692308)"
HK,"(33.88461538461539, 127.07692307692308)","(34.15384615384615, 127.38461538461539)"
HL,"(33.88461538461539, 127.38461538461539)","(34.15384615384615, 127.6923076923077)"
