Grid Name,"Min Latitude, Min Longitude","Max Latitude, Max Longitude"
TJADBC,"(37.28365384615385, 126.88461538461539)","(37.300480769230774, 126.90384615384616)"
TJADBA,"(37.300480769230774, 126.88461538461539)","(37.31730769230769, 126.90384615384616)"
TJADBD,"(37.28365384615385, 126.90384615384616)","(37.300480769230774, 126.92307692307693)"
TJABDC,"(37.31730769230769, 126.88461538461539)","(37.33413461538461, 126.90384615384616)"
TJABDA,"(37.33413461538461, 126.88461538461539)","(37.35096153846154, 126.90384615384616)"
TJABDB,"(37.33413461538461, 126.90384615384616)","(37.35096153846154, 126.92307692307693)"
UHDADA,"(37.46875, 126.34615384615385)","(37.48557692307693, 126.36538461538461)"
UHDADB,"(37.46875, 126.36538461538461)","(37.48557692307693, 126.38461538461539)"
UHDDBC,"(37.41826923076923, 126.42307692307693)","(37.43509615384616, 126.44230769230771)"
UHDDBA,"(37.43509615384616, 126.42307692307693)","(37.45192307692308, 126.44230769230771)"
UHDDBD,"(37.41826923076923, 126.44230769230771)","(37.43509615384616, 126.46153846153847)"
UICCAC,"(37.41826923076923, 126.46153846153847)","(37.43509615384616, 126.48076923076923)"
UICCAD,"(37.41826923076923, 126.48076923076923)","(37.43509615384616, 126.5)"
UICACC,"(37.45192307692308, 126.46153846153847)","(37.46875, 126.48076923076923)"
UICACA,"(37.46875, 126.46153846153847)","(37.48557692307693, 126.48076923076923)"
UICAAC,"(37.48557692307693, 126.46153846153847)","(37.502403846153854, 126.48076923076923)"
UICAAA,"(37.502403846153854, 126.46153846153847)","(37.519230769230774, 126.48076923076923)"
UICDDC,"(37.38461538461539, 126.57692307692308)","(37.40144230769231, 126.59615384615384)"
UICDDA,"(37.40144230769231, 126.57692307692308)","(37.41826923076923, 126.59615384615384)"
UICDDD,"(37.38461538461539, 126.59615384615384)","(37.40144230769231, 126.61538461538461)"
UICDBC,"(37.41826923076923, 126.57692307692308)","(37.43509615384616, 126.59615384615384)"
UICDBA,"(37.43509615384616, 126.57692307692308)","(37.45192307692308, 126.59615384615384)"
UICDBB,"(37.43509615384616, 126.59615384615384)","(37.45192307692308, 126.61538461538461)"
UICBDC,"(37.45192307692308, 126.57692307692308)","(37.46875, 126.59615384615384)"
UICBDA,"(37.46875, 126.57692307692308)","(37.48557692307693, 126.59615384615384)"
UICBDD,"(37.45192307692308, 126.59615384615384)","(37.46875, 126.61538461538461)"
UICBBA,"(37.502403846153854, 126.57692307692308)","(37.519230769230774, 126.59615384615384)"
UICBBD,"(37.48557692307693, 126.59615384615384)","(37.502403846153854, 126.61538461538461)"
UIADCA,"(37.53605769230769, 126.53846153846155)","(37.55288461538462, 126.55769230769232)"
UIADDC,"(37.519230769230774, 126.57692307692308)","(37.53605769230769, 126.59615384615384)"
UIADBC,"(37.55288461538462, 126.57692307692308)","(37.56971153846155, 126.59615384615384)"
UIADBA,"(37.56971153846155, 126.57692307692308)","(37.58653846153847, 126.59615384615384)"
UIADBB,"(37.56971153846155, 126.59615384615384)","(37.58653846153847, 126.61538461538461)"
UIDCCB,"(37.40144230769231, 126.63461538461539)","(37.41826923076923, 126.65384615384616)"
UIDCAD,"(37.41826923076923, 126.63461538461539)","(37.43509615384616, 126.65384615384616)"
UIDCDC,"(37.38461538461539, 126.65384615384616)","(37.40144230769231, 126.67307692307693)"
UIDCDA,"(37.40144230769231, 126.65384615384616)","(37.41826923076923, 126.67307692307693)"
UIDCDB,"(37.40144230769231, 126.67307692307693)","(37.41826923076923, 126.6923076923077)"
UIDCBC,"(37.41826923076923, 126.65384615384616)","(37.43509615384616, 126.67307692307693)"
UIDACD,"(37.45192307692308, 126.63461538461539)","(37.46875, 126.65384615384616)"
UIDAAC,"(37.48557692307693, 126.61538461538461)","(37.502403846153854, 126.63461538461539)"
UIDADC,"(37.45192307692308, 126.65384615384616)","(37.46875, 126.67307692307693)"
UIDADD,"(37.45192307692308, 126.67307692307693)","(37.46875, 126.6923076923077)"
UIDDCA,"(37.40144230769231, 126.6923076923077)","(37.41826923076923, 126.71153846153845)"
UIDDCD,"(37.38461538461539, 126.71153846153845)","(37.40144230769231, 126.73076923076923)"
UIDDCB,"(37.40144230769231, 126.71153846153845)","(37.41826923076923, 126.73076923076923)"
UIDDAA,"(37.43509615384616, 126.6923076923077)","(37.45192307692308, 126.71153846153845)"
UIDDAB,"(37.43509615384616, 126.71153846153845)","(37.45192307692308, 126.73076923076923)"
UIDDDB,"(37.40144230769231, 126.75)","(37.41826923076923, 126.76923076923077)"
UIDDBA,"(37.43509615384616, 126.73076923076923)","(37.45192307692308, 126.75)"
UIDDBD,"(37.41826923076923, 126.75)","(37.43509615384616, 126.76923076923077)"
UIDDBB,"(37.43509615384616, 126.75)","(37.45192307692308, 126.76923076923077)"
UIBCAA,"(37.56971153846155, 126.61538461538461)","(37.58653846153847, 126.63461538461539)"
UIBADC,"(37.58653846153847, 126.65384615384616)","(37.60336538461539, 126.67307692307693)"
UIBADA,"(37.60336538461539, 126.65384615384616)","(37.62019230769231, 126.67307692307693)"
UIBADB,"(37.60336538461539, 126.67307692307693)","(37.62019230769231, 126.6923076923077)"
UIBDCC,"(37.519230769230774, 126.6923076923077)","(37.53605769230769, 126.71153846153845)"
UIBDCD,"(37.519230769230774, 126.71153846153845)","(37.53605769230769, 126.73076923076923)"
UIBDAC,"(37.55288461538462, 126.6923076923077)","(37.56971153846155, 126.71153846153845)"
UIBDAD,"(37.55288461538462, 126.71153846153845)","(37.56971153846155, 126.73076923076923)"
UIBDDC,"(37.519230769230774, 126.73076923076923)","(37.53605769230769, 126.75)"
UIBDDD,"(37.519230769230774, 126.75)","(37.53605769230769, 126.76923076923077)"
UIBDDB,"(37.53605769230769, 126.75)","(37.55288461538462, 126.76923076923077)"
UIBDBC,"(37.55288461538462, 126.73076923076923)","(37.56971153846155, 126.75)"
UIBDBD,"(37.55288461538462, 126.75)","(37.56971153846155, 126.76923076923077)"
UJACAC,"(37.55288461538462, 126.76923076923077)","(37.56971153846155, 126.78846153846155)"
UJACAD,"(37.55288461538462, 126.78846153846155)","(37.56971153846155, 126.80769230769232)"
UJACBC,"(37.55288461538462, 126.80769230769232)","(37.56971153846155, 126.8269230769231)"
UJACBD,"(37.55288461538462, 126.8269230769231)","(37.56971153846155, 126.84615384615385)"
UJACBB,"(37.56971153846155, 126.8269230769231)","(37.58653846153847, 126.84615384615385)"
UJAADA,"(37.60336538461539, 126.80769230769232)","(37.62019230769231, 126.8269230769231)"
UJAABC,"(37.62019230769231, 126.80769230769232)","(37.637019230769226, 126.8269230769231)"
UJAABA,"(37.637019230769226, 126.80769230769232)","(37.65384615384615, 126.8269230769231)"
UJAABD,"(37.62019230769231, 126.8269230769231)","(37.637019230769226, 126.84615384615385)"
UJABCC,"(37.58653846153847, 126.84615384615385)","(37.60336538461539, 126.86538461538461)"
UJABCD,"(37.58653846153847, 126.86538461538461)","(37.60336538461539, 126.88461538461539)"
UJABCB,"(37.60336538461539, 126.86538461538461)","(37.62019230769231, 126.88461538461539)"
UJABAD,"(37.62019230769231, 126.86538461538461)","(37.637019230769226, 126.88461538461539)"
UJABAB,"(37.637019230769226, 126.86538461538461)","(37.65384615384615, 126.88461538461539)"
UJABBC,"(37.62019230769231, 126.88461538461539)","(37.637019230769226, 126.90384615384616)"
UJABBD,"(37.62019230769231, 126.90384615384616)","(37.637019230769226, 126.92307692307693)"
UJABBB,"(37.637019230769226, 126.90384615384616)","(37.65384615384615, 126.92307692307693)"
UJDBAC,"(37.48557692307693, 127.0)","(37.502403846153854, 127.01923076923077)"
UJDBAD,"(37.48557692307693, 127.01923076923077)","(37.502403846153854, 127.03846153846155)"
UJDBAB,"(37.502403846153854, 127.01923076923077)","(37.519230769230774, 127.03846153846155)"
UJBCBC,"(37.55288461538462, 126.96153846153847)","(37.56971153846155, 126.98076923076923)"
UJBCBA,"(37.56971153846155, 126.96153846153847)","(37.58653846153847, 126.98076923076923)"
UJBCBD,"(37.55288461538462, 126.98076923076923)","(37.56971153846155, 127.0)"
UJBADC,"(37.58653846153847, 126.96153846153847)","(37.60336538461539, 126.98076923076923)"
UJBADA,"(37.60336538461539, 126.96153846153847)","(37.62019230769231, 126.98076923076923)"
UJBADB,"(37.60336538461539, 126.98076923076923)","(37.62019230769231, 127.0)"
UJBDCA,"(37.53605769230769, 127.0)","(37.55288461538462, 127.01923076923077)"
UJBDCD,"(37.519230769230774, 127.01923076923077)","(37.53605769230769, 127.03846153846155)"
UJBDCB,"(37.53605769230769, 127.01923076923077)","(37.55288461538462, 127.03846153846155)"
UKCCCA,"(37.40144230769231, 127.07692307692308)","(37.41826923076923, 127.09615384615384)"
UKABDA,"(37.60336538461539, 127.1923076923077)","(37.62019230769231, 127.21153846153845)"
UKABDD,"(37.58653846153847, 127.21153846153845)","(37.60336538461539, 127.23076923076923)"
UKABDB,"(37.60336538461539, 127.21153846153845)","(37.62019230769231, 127.23076923076923)"
UKBABC,"(37.62019230769231, 127.26923076923077)","(37.637019230769226, 127.28846153846155)"
UKBABA,"(37.637019230769226, 127.26923076923077)","(37.65384615384615, 127.28846153846155)"
UKBABB,"(37.637019230769226, 127.28846153846155)","(37.65384615384615, 127.3076923076923)"
ULBBBC,"(37.62019230769231, 127.65384615384616)","(37.637019230769226, 127.67307692307693)"
ULBBBA,"(37.637019230769226, 127.65384615384616)","(37.65384615384615, 127.67307692307693)"
ULBBBD,"(37.62019230769231, 127.67307692307693)","(37.637019230769226, 127.6923076923077)"
VJCCAC,"(37.6875, 126.76923076923077)","(37.70432692307692, 126.78846153846155)"
VJCCAA,"(37.70432692307692, 126.76923076923077)","(37.72115384615384, 126.78846153846155)"
VJCCDC,"(37.65384615384615, 126.80769230769232)","(37.67067307692308, 126.8269230769231)"
VJCCDA,"(37.67067307692308, 126.80769230769232)","(37.6875, 126.8269230769231)"
VJCCDD,"(37.65384615384615, 126.8269230769231)","(37.67067307692308, 126.84615384615385)"
VJCCBA,"(37.70432692307692, 126.80769230769232)","(37.72115384615384, 126.8269230769231)"
VJCCBB,"(37.70432692307692, 126.8269230769231)","(37.72115384615384, 126.84615384615385)"
VJCACC,"(37.72115384615384, 126.76923076923077)","(37.73798076923076, 126.78846153846155)"
VJCACA,"(37.73798076923076, 126.76923076923077)","(37.754807692307686, 126.78846153846155)"
VJCACB,"(37.73798076923076, 126.78846153846155)","(37.754807692307686, 126.80769230769232)"
VJCDCD,"(37.65384615384615, 126.86538461538461)","(37.67067307692308, 126.88461538461539)"
VJCDCB,"(37.67067307692308, 126.86538461538461)","(37.6875, 126.88461538461539)"
VKDDDC,"(37.65384615384615, 127.34615384615384)","(37.67067307692308, 127.36538461538461)"
VKDDDA,"(37.67067307692308, 127.34615384615384)","(37.6875, 127.36538461538461)"
VKDDDD,"(37.65384615384615, 127.36538461538461)","(37.67067307692308, 127.38461538461539)"
VKDDBC,"(37.6875, 127.34615384615384)","(37.70432692307692, 127.36538461538461)"
VKDDBA,"(37.70432692307692, 127.34615384615384)","(37.72115384615384, 127.36538461538461)"
VKDDBB,"(37.70432692307692, 127.36538461538461)","(37.72115384615384, 127.38461538461539)"
VLCCAD,"(37.6875, 127.40384615384616)","(37.70432692307692, 127.42307692307693)"
VLCACC,"(37.72115384615384, 127.38461538461539)","(37.73798076923076, 127.40384615384616)"
VLCACA,"(37.73798076923076, 127.38461538461539)","(37.754807692307686, 127.40384615384616)"
VLCACB,"(37.73798076923076, 127.40384615384616)","(37.754807692307686, 127.42307692307693)"
VLCDDC,"(37.65384615384615, 127.5)","(37.67067307692308, 127.51923076923077)"
VLCDDA,"(37.67067307692308, 127.5)","(37.6875, 127.51923076923077)"
VLCDDD,"(37.65384615384615, 127.51923076923077)","(37.67067307692308, 127.53846153846155)"
OQDDBCC,"(35.80288461538461, 129.19230769230768)","(35.81129807692307, 129.20192307692307)"
OQDDBCA,"(35.81129807692307, 129.19230769230768)","(35.81971153846153, 129.20192307692307)"
OQDDBCD,"(35.80288461538461, 129.20192307692307)","(35.81129807692307, 129.21153846153845)"
OQDDBCB,"(35.81129807692307, 129.20192307692307)","(35.81971153846153, 129.21153846153845)"
OQDDBBC,"(35.81971153846153, 129.21153846153845)","(35.828125, 129.22115384615384)"
OQDDBBA,"(35.828125, 129.21153846153845)","(35.83653846153846, 129.22115384615384)"
OQDDBBD,"(35.81971153846153, 129.22115384615384)","(35.828125, 129.23076923076923)"
OQDDBBB,"(35.828125, 129.22115384615384)","(35.83653846153846, 129.23076923076923)"
ORCCAAC,"(35.81971153846153, 129.23076923076923)","(35.828125, 129.2403846153846)"
ORCCAAA,"(35.828125, 129.23076923076923)","(35.83653846153846, 129.2403846153846)"
ORCCAAD,"(35.81971153846153, 129.2403846153846)","(35.828125, 129.25)"
ORCCAAB,"(35.828125, 129.2403846153846)","(35.83653846153846, 129.25)"
ORCACCC,"(35.83653846153846, 129.23076923076923)","(35.84495192307692, 129.2403846153846)"
ORCACCA,"(35.84495192307692, 129.23076923076923)","(35.85336538461539, 129.2403846153846)"
ORCACCD,"(35.83653846153846, 129.2403846153846)","(35.84495192307692, 129.25)"
ORCACCB,"(35.84495192307692, 129.2403846153846)","(35.85336538461539, 129.25)"
ORCACDC,"(35.83653846153846, 129.25)","(35.84495192307692, 129.2596153846154)"
ORCACDA,"(35.84495192307692, 129.25)","(35.85336538461539, 129.2596153846154)"
ORCACDD,"(35.83653846153846, 129.2596153846154)","(35.84495192307692, 129.26923076923077)"
ORCACDB,"(35.84495192307692, 129.2596153846154)","(35.85336538461539, 129.26923076923077)"
ORCDCAC,"(35.78605769230769, 129.30769230769232)","(35.79447115384615, 129.3173076923077)"
ORCDCAA,"(35.79447115384615, 129.30769230769232)","(35.80288461538461, 129.3173076923077)"
ORCDCAD,"(35.78605769230769, 129.3173076923077)","(35.79447115384615, 129.3269230769231)"
ORCDCAB,"(35.79447115384615, 129.3173076923077)","(35.80288461538461, 129.3269230769231)"
RLCBCCC,"(36.644230769230774, 127.46153846153847)","(36.65264423076923, 127.47115384615384)"
RLCBCCA,"(36.65264423076923, 127.46153846153847)","(36.66105769230769, 127.47115384615384)"
RLCBCCD,"(36.644230769230774, 127.47115384615384)","(36.65264423076923, 127.48076923076923)"
RLCBCCB,"(36.65264423076923, 127.47115384615384)","(36.66105769230769, 127.48076923076923)"
RLCBCAC,"(36.66105769230769, 127.46153846153847)","(36.66947115384616, 127.47115384615384)"
RLCBCAA,"(36.66947115384616, 127.46153846153847)","(36.67788461538462, 127.47115384615384)"
RLCBCAD,"(36.66105769230769, 127.47115384615384)","(36.66947115384616, 127.48076923076923)"
RLCBCAB,"(36.66947115384616, 127.47115384615384)","(36.67788461538462, 127.48076923076923)"
RLCBCBC,"(36.66105769230769, 127.48076923076923)","(36.66947115384616, 127.49038461538461)"
RLCBCBA,"(36.66947115384616, 127.48076923076923)","(36.67788461538462, 127.49038461538461)"
RLCBCBD,"(36.66105769230769, 127.49038461538461)","(36.66947115384616, 127.5)"
RLCBCBB,"(36.66947115384616, 127.49038461538461)","(36.67788461538462, 127.5)"
RLCBDAC,"(36.66105769230769, 127.5)","(36.66947115384616, 127.50961538461539)"
RLCBDAA,"(36.66947115384616, 127.5)","(36.67788461538462, 127.50961538461539)"
RLCBDAD,"(36.66105769230769, 127.50961538461539)","(36.66947115384616, 127.51923076923077)"
RLCBDAB,"(36.66947115384616, 127.50961538461539)","(36.67788461538462, 127.51923076923077)"
RLBACDC,"(36.77884615384616, 127.55769230769232)","(36.78725961538462, 127.56730769230771)"
RLBACDA,"(36.78725961538462, 127.55769230769232)","(36.79567307692308, 127.56730769230771)"
RLBACDD,"(36.77884615384616, 127.56730769230771)","(36.78725961538462, 127.57692307692308)"
RLBACDB,"(36.78725961538462, 127.56730769230771)","(36.79567307692308, 127.57692307692308)"
RLBADCC,"(36.77884615384616, 127.57692307692308)","(36.78725961538462, 127.58653846153845)"
RLBADCA,"(36.78725961538462, 127.57692307692308)","(36.79567307692308, 127.58653846153845)"
RLBADCD,"(36.77884615384616, 127.58653846153845)","(36.78725961538462, 127.59615384615384)"
RLBADCB,"(36.78725961538462, 127.58653846153845)","(36.79567307692308, 127.59615384615384)"
RNCDBBC,"(36.627403846153854, 128.13461538461542)","(36.635817307692314, 128.14423076923077)"
RNCDBBA,"(36.635817307692314, 128.13461538461542)","(36.644230769230774, 128.14423076923077)"
RNCDBBD,"(36.627403846153854, 128.14423076923077)","(36.635817307692314, 128.15384615384616)"
RNCDBBB,"(36.635817307692314, 128.14423076923077)","(36.644230769230774, 128.15384615384616)"
RNDCCCC,"(36.57692307692308, 128.15384615384616)","(36.58533653846154, 128.16346153846155)"
RNDCCCA,"(36.58533653846154, 128.15384615384616)","(36.59375, 128.16346153846155)"
RNDCCCD,"(36.57692307692308, 128.16346153846155)","(36.58533653846154, 128.1730769230769)"
RNDCCCB,"(36.58533653846154, 128.16346153846155)","(36.59375, 128.1730769230769)"
RNDCCAC,"(36.59375, 128.15384615384616)","(36.60216346153847, 128.16346153846155)"
RNDCCAA,"(36.60216346153847, 128.15384615384616)","(36.61057692307693, 128.16346153846155)"
RNDCCAD,"(36.59375, 128.16346153846155)","(36.60216346153847, 128.1730769230769)"
RNDCCAB,"(36.60216346153847, 128.16346153846155)","(36.61057692307693, 128.1730769230769)"
SJAABAC,"(37.09855769230769, 126.80769230769232)","(37.10697115384615, 126.81730769230771)"
SJAABAA,"(37.10697115384615, 126.80769230769232)","(37.11538461538461, 126.81730769230771)"
SJAABAD,"(37.09855769230769, 126.81730769230771)","(37.10697115384615, 126.8269230769231)"
SJAABAB,"(37.10697115384615, 126.81730769230771)","(37.11538461538461, 126.8269230769231)"
SJAABDC,"(37.08173076923077, 126.8269230769231)","(37.090144230769226, 126.83653846153848)"
SJAABDA,"(37.090144230769226, 126.8269230769231)","(37.09855769230769, 126.83653846153848)"
SJAABDD,"(37.08173076923077, 126.83653846153848)","(37.090144230769226, 126.84615384615385)"
SJAABDB,"(37.090144230769226, 126.83653846153848)","(37.09855769230769, 126.84615384615385)"
SJAABBC,"(37.09855769230769, 126.8269230769231)","(37.10697115384615, 126.83653846153848)"
SJAABBA,"(37.10697115384615, 126.8269230769231)","(37.11538461538461, 126.83653846153848)"
SJAABBD,"(37.09855769230769, 126.83653846153848)","(37.10697115384615, 126.84615384615385)"
SJAABBB,"(37.10697115384615, 126.83653846153848)","(37.11538461538461, 126.84615384615385)"
SJABCCC,"(37.04807692307692, 126.84615384615385)","(37.05649038461538, 126.85576923076923)"
SJABCCA,"(37.05649038461538, 126.84615384615385)","(37.06490384615384, 126.85576923076923)"
SJABCCD,"(37.04807692307692, 126.85576923076923)","(37.05649038461538, 126.86538461538461)"
SJABCCB,"(37.05649038461538, 126.85576923076923)","(37.06490384615384, 126.86538461538461)"
SJABCAC,"(37.06490384615384, 126.84615384615385)","(37.07331730769231, 126.85576923076923)"
SJABCAA,"(37.07331730769231, 126.84615384615385)","(37.08173076923077, 126.85576923076923)"
SJABCAD,"(37.06490384615384, 126.85576923076923)","(37.07331730769231, 126.86538461538461)"
SJABCAB,"(37.07331730769231, 126.85576923076923)","(37.08173076923077, 126.86538461538461)"
SJABCDC,"(37.04807692307692, 126.86538461538461)","(37.05649038461538, 126.875)"
SJABCDA,"(37.05649038461538, 126.86538461538461)","(37.06490384615384, 126.875)"
SJABCDD,"(37.04807692307692, 126.875)","(37.05649038461538, 126.88461538461539)"
SJABCDB,"(37.05649038461538, 126.875)","(37.06490384615384, 126.88461538461539)"
SJABACC,"(37.08173076923077, 126.84615384615385)","(37.090144230769226, 126.85576923076923)"
SJABACA,"(37.090144230769226, 126.84615384615385)","(37.09855769230769, 126.85576923076923)"
SJABACD,"(37.08173076923077, 126.85576923076923)","(37.090144230769226, 126.86538461538461)"
SJABACB,"(37.090144230769226, 126.85576923076923)","(37.09855769230769, 126.86538461538461)"
SJABDCC,"(37.04807692307692, 126.88461538461539)","(37.05649038461538, 126.89423076923077)"
SJABDCA,"(37.05649038461538, 126.88461538461539)","(37.06490384615384, 126.89423076923077)"
SJABDCD,"(37.04807692307692, 126.89423076923077)","(37.05649038461538, 126.90384615384616)"
SJABDCB,"(37.05649038461538, 126.89423076923077)","(37.06490384615384, 126.90384615384616)"
SJABDDC,"(37.04807692307692, 126.90384615384616)","(37.05649038461538, 126.91346153846155)"
SJABDDA,"(37.05649038461538, 126.90384615384616)","(37.06490384615384, 126.91346153846155)"
SJABDDD,"(37.04807692307692, 126.91346153846155)","(37.05649038461538, 126.92307692307693)"
SJABDDB,"(37.05649038461538, 126.91346153846155)","(37.06490384615384, 126.92307692307693)"
SJBCAAC,"(37.03125, 126.92307692307693)","(37.03966346153846, 126.93269230769232)"
SJBCAAA,"(37.03966346153846, 126.92307692307693)","(37.04807692307692, 126.93269230769232)"
SJBCAAD,"(37.03125, 126.93269230769232)","(37.03966346153846, 126.94230769230771)"
SJBCAAB,"(37.03966346153846, 126.93269230769232)","(37.04807692307692, 126.94230769230771)"
SJBCABC,"(37.03125, 126.94230769230771)","(37.03966346153846, 126.9519230769231)"
SJBCABA,"(37.03966346153846, 126.94230769230771)","(37.04807692307692, 126.9519230769231)"
SJBCABD,"(37.03125, 126.9519230769231)","(37.03966346153846, 126.96153846153847)"
SJBCABB,"(37.03966346153846, 126.9519230769231)","(37.04807692307692, 126.96153846153847)"
SJBCBCC,"(37.01442307692307, 126.96153846153847)","(37.02283653846153, 126.97115384615384)"
SJBCBCA,"(37.02283653846153, 126.96153846153847)","(37.03125, 126.97115384615384)"
SJBCBCD,"(37.01442307692307, 126.97115384615384)","(37.02283653846153, 126.98076923076923)"
SJBCBCB,"(37.02283653846153, 126.97115384615384)","(37.03125, 126.98076923076923)"
SJBCBAC,"(37.03125, 126.96153846153847)","(37.03966346153846, 126.97115384615384)"
SJBCBAA,"(37.03966346153846, 126.96153846153847)","(37.04807692307692, 126.97115384615384)"
SJBCBAD,"(37.03125, 126.97115384615384)","(37.03966346153846, 126.98076923076923)"
SJBCBAB,"(37.03966346153846, 126.97115384615384)","(37.04807692307692, 126.98076923076923)"
SJBCBDC,"(37.01442307692307, 126.98076923076923)","(37.02283653846153, 126.99038461538461)"
SJBCBDA,"(37.02283653846153, 126.98076923076923)","(37.03125, 126.99038461538461)"
SJBCBDD,"(37.01442307692307, 126.99038461538461)","(37.02283653846153, 127.0)"
SJBCBDB,"(37.02283653846153, 126.99038461538461)","(37.03125, 127.0)"
SJBACCC,"(37.04807692307692, 126.92307692307693)","(37.05649038461538, 126.93269230769232)"
SJBACCA,"(37.05649038461538, 126.92307692307693)","(37.06490384615384, 126.93269230769232)"
SJBACCD,"(37.04807692307692, 126.93269230769232)","(37.05649038461538, 126.94230769230771)"
SJBACCB,"(37.05649038461538, 126.93269230769232)","(37.06490384615384, 126.94230769230771)"
SJBDACC,"(37.01442307692307, 127.0)","(37.02283653846153, 127.00961538461539)"
SJBDACA,"(37.02283653846153, 127.0)","(37.03125, 127.00961538461539)"
SJBDACD,"(37.01442307692307, 127.00961538461539)","(37.02283653846153, 127.01923076923077)"
SJBDACB,"(37.02283653846153, 127.00961538461539)","(37.03125, 127.01923076923077)"
SJBDADC,"(37.01442307692307, 127.01923076923077)","(37.02283653846153, 127.02884615384616)"
SJBDADA,"(37.02283653846153, 127.01923076923077)","(37.03125, 127.02884615384616)"
SJBDADD,"(37.01442307692307, 127.02884615384616)","(37.02283653846153, 127.03846153846155)"
SJBDADB,"(37.02283653846153, 127.02884615384616)","(37.03125, 127.03846153846155)"
SJBDBCC,"(37.01442307692307, 127.03846153846155)","(37.02283653846153, 127.04807692307693)"
SJBDBCA,"(37.02283653846153, 127.03846153846155)","(37.03125, 127.04807692307693)"
SJBDBCD,"(37.01442307692307, 127.04807692307693)","(37.02283653846153, 127.05769230769232)"
SJBDBCB,"(37.02283653846153, 127.04807692307693)","(37.03125, 127.05769230769232)"
SJBDBDC,"(37.01442307692307, 127.05769230769232)","(37.02283653846153, 127.06730769230771)"
SJBDBDA,"(37.02283653846153, 127.05769230769232)","(37.03125, 127.06730769230771)"
SJBDBDD,"(37.01442307692307, 127.06730769230771)","(37.02283653846153, 127.07692307692308)"
SJBDBDB,"(37.02283653846153, 127.06730769230771)","(37.03125, 127.07692307692308)"
SKACACC,"(37.01442307692307, 127.07692307692308)","(37.02283653846153, 127.08653846153845)"
SKACACA,"(37.02283653846153, 127.07692307692308)","(37.03125, 127.08653846153845)"
SKACACD,"(37.01442307692307, 127.08653846153845)","(37.02283653846153, 127.09615384615384)"
SKACACB,"(37.02283653846153, 127.08653846153845)","(37.03125, 127.09615384615384)"
SKACAAC,"(37.03125, 127.07692307692308)","(37.03966346153846, 127.08653846153845)"
SKACAAA,"(37.03966346153846, 127.07692307692308)","(37.04807692307692, 127.08653846153845)"
SKACAAD,"(37.03125, 127.08653846153845)","(37.03966346153846, 127.09615384615384)"
SKACAAB,"(37.03966346153846, 127.08653846153845)","(37.04807692307692, 127.09615384615384)"
SKACABC,"(37.03125, 127.09615384615384)","(37.03966346153846, 127.10576923076923)"
SKACABA,"(37.03966346153846, 127.09615384615384)","(37.04807692307692, 127.10576923076923)"
SKACABD,"(37.03125, 127.10576923076923)","(37.03966346153846, 127.11538461538461)"
SKACABB,"(37.03966346153846, 127.10576923076923)","(37.04807692307692, 127.11538461538461)"
SKACBAC,"(37.03125, 127.11538461538461)","(37.03966346153846, 127.125)"
SKACBAA,"(37.03966346153846, 127.11538461538461)","(37.04807692307692, 127.125)"
SKACBAD,"(37.03125, 127.125)","(37.03966346153846, 127.13461538461539)"
SKACBAB,"(37.03966346153846, 127.125)","(37.04807692307692, 127.13461538461539)"
SKACBBC,"(37.03125, 127.13461538461539)","(37.03966346153846, 127.14423076923077)"
SKACBBA,"(37.03966346153846, 127.13461538461539)","(37.04807692307692, 127.14423076923077)"
SKACBBD,"(37.03125, 127.14423076923077)","(37.03966346153846, 127.15384615384616)"
SKACBBB,"(37.03966346153846, 127.14423076923077)","(37.04807692307692, 127.15384615384616)"
SKADCBC,"(36.997596153846146, 127.17307692307693)","(37.00600961538461, 127.18269230769232)"
SKADCBA,"(37.00600961538461, 127.17307692307693)","(37.01442307692307, 127.18269230769232)"
SKADCBD,"(36.997596153846146, 127.18269230769232)","(37.00600961538461, 127.1923076923077)"
SKADCBB,"(37.00600961538461, 127.18269230769232)","(37.01442307692307, 127.1923076923077)"
SKADACC,"(37.01442307692307, 127.15384615384616)","(37.02283653846153, 127.16346153846155)"
SKADACA,"(37.02283653846153, 127.15384615384616)","(37.03125, 127.16346153846155)"
SKADACD,"(37.01442307692307, 127.16346153846155)","(37.02283653846153, 127.17307692307693)"
SKADACB,"(37.02283653846153, 127.16346153846155)","(37.03125, 127.17307692307693)"
SKADAAC,"(37.03125, 127.15384615384616)","(37.03966346153846, 127.16346153846155)"
SKADAAA,"(37.03966346153846, 127.15384615384616)","(37.04807692307692, 127.16346153846155)"
SKADAAD,"(37.03125, 127.16346153846155)","(37.03966346153846, 127.17307692307693)"
SKADAAB,"(37.03966346153846, 127.16346153846155)","(37.04807692307692, 127.17307692307693)"
SKADADC,"(37.01442307692307, 127.17307692307693)","(37.02283653846153, 127.18269230769232)"
SKADADA,"(37.02283653846153, 127.17307692307693)","(37.03125, 127.18269230769232)"
SKADADD,"(37.01442307692307, 127.18269230769232)","(37.02283653846153, 127.1923076923077)"
SKADADB,"(37.02283653846153, 127.18269230769232)","(37.03125, 127.1923076923077)"
SKADDCC,"(36.980769230769226, 127.1923076923077)","(36.989182692307686, 127.20192307692307)"
SKADDCA,"(36.989182692307686, 127.1923076923077)","(36.997596153846146, 127.20192307692307)"
SKADDCD,"(36.980769230769226, 127.20192307692307)","(36.989182692307686, 127.21153846153845)"
