,F1,grid_path
198,AN,"['UIBCDAC', 'UIBCBCD', 'UIBCBCB', 'UIBCBAD', 'UIBCBBC', 'UIBCBDA', 'UIBCBDB', 'UIBCBBD', 'UIBDAAC', 'UIBDAAD', 'UIBDABC', 'UIBDABD', 'UIBDBAC', 'UIBDBAD', 'UIBDBBC', 'UIBDBBD', 'UIBDBBB', 'UJACAAA', 'UJACAAB', 'UJACABA', 'UJACABB', 'UJACBAA', 'UJACBAB', 'UJAADCD', 'UJAADDC', 'UJAADDA', 'UJAADDB', 'UJAADBD', 'UJABCAC', 'VJCDCAC', 'VJCACDC', 'VJCACDA']"
199,AN,"['VJCACDB', 'VJCACDD']"
200,AN,"['VJCACDC', 'VJCCABA', 'VJCCABD', 'VJCCADB', 'VJCCBCA', 'VJCCBCD', 'VJCCBDC', 'VJCCBDD', 'VJCCDBB', 'VJCDCAA', 'VJCDCAC', 'VJCDCCA', 'VJCDCCC', 'UJABAAA', 'UJABAAC', 'UJAABBD', 'UJABAAC', 'UJABACA', 'UJABACC', 'UJABACD', 'UJABCAB', 'UJABCAA', 'UJABCAC', 'UJAADBD', 'UJAADDB', 'UJAADDA', 'UJAADDC', 'UJAADCD', 'UJACBAB', 'UJACBAA', 'UJACABB', 'UJACAAB']"
201,N,['UIBCCBD']
202,N,['UIBCCBD']
203,N,['UIBCCBD']
204,N,['UIBCCBD']
205,N,['UIBCCBD']
206,N,['UIBCCBC']
207,N,"['UIDAABB', 'UIBCCDA']"
208,N,['UIBCCBD']
209,N,['UIBCCBD']
210,N,"['UIBCCBD', 'UIBCCBC']"
211,N,['UIBCCBD']
212,N,"['UIBCCBD', 'UIBCCDB']"
213,N,"['UIBCCBD', 'UIBCCBC']"
214,N,"['UIBCCCD', 'UIDAAAB', 'UIDAAAA', 'UIDAAAB', 'UIDAAAD', 'UIDACCB']"
215,AN,"['TIDBBDD', 'TIDBDBB', 'TIDBDBA', 'TIDBDBB', 'TIDBDBD', 'TIDBDDB', 'TJCACCA', 'TJCACCC', 'TJCCAAB', 'TJCCAAD', 'TJCCABC', 'TJCCADA', 'TJCCADB', 'TJCCADD', 'TJCCCBB', 'TJCCCBD', 'TJCCDAC', 'TJCCDCA', 'TJCCDCC', 'TJCCDCD', 'SJAABAB', 'SJAABBA', 'SJAABBC', 'SJAABBD', 'SJAABDB', 'SJABACA', 'SJABACC', 'SJABCAA', 'SJABCAB', 'SJABCAD', 'SJABCCB', 'SJABCDA', 'SJABCDB', 'SJABCDD', 'SJABDCC', 'SJABDCD', 'SJABDDC', 'SJABDDD', 'SJBACCC', 'SJBACCD', 'SJBCAAB', 'SJBCABA', 'SJBCABB', 'SJBCABD', 'SJBCBAC', 'SJBCBAD', 'SJBCBCB', 'SJBCBDA', 'SJBCBDB', 'SJBDACA', 'SJBDACB', 'SJBDADA', 'SJBDADB', 'SJBDBCA', 'SJBDBCB', 'SJBDBDA', 'SJBDBDB', 'SKACACA', 'SKACAAC', 'SKACAAD', 'SKACABC', 'SKACABD', 'SKACBAC', 'SKACBAD', 'SKACBBC', 'SKACBBD', 'SKADAAC', 'SKADACA', 'SKADACB', 'SKADACD', 'SKADADC', 'SKADCBA', 'SKADCBB', 'SKADDAC', 'SKADDAD', 'SKADDCB', 'SKADDDA', 'SKADDDB', 'SKADDDD', 'SKBCCCC', 'SKDAAAA', 'SKDAAAB', 'SKDAABA', 'SKDAABC', 'SKDAABD', 'SKDABAC']"
216,AN,"['SKDBAAA', 'SKDBAAB', 'SKBDCDD', 'RLCBCBA', 'RLCBCAB', 'RLCBCAC', 'RLCBCCC']"
217,AN,"['RLCBCBD', 'RLCBDAC']"
218,AN,"['RLBADCB', 'RLBADCA']"
219,AN,"['TIBDBBA', 'TIBBBBB', 'TIBBAAB', 'UIDDCCC', 'UIDCDDD', 'UIDCDDC', 'TIBABBA', 'TIBABAD', 'TIBABAC', 'TIBABAA', 'UIDCCCB', 'UIDCCAD', 'UIDCCAC', 'UIDCCAB', 'UIDCCAA', 'UICDDBB', 'UICDBDD', 'UIDCAAC']"
220,N,['UIBCCBD']
221,N,['UIBCCBD']
222,N,['UIBCCBD']
223,N,"['UIBCDAC', 'UIBCCBD']"
224,N,['UIBCCBD']
225,N,['UIBCCDB']
226,N,['UIBCCBD']
227,N,['UIBCCBD']
228,N,['UIBCCDA']
229,N,"['UIBCCDB', 'UIBCCBD']"
230,N,['UIBCCBD']
231,N,['UIBCCBD']
232,N,['UIDAABD']
233,N,"['UIBCCDD', 'UIBCCDB', 'UIBCCBD']"
234,N,['UIBCCBD']
235,N,['UIBCCDB']
236,N,"['UIBCCDB', 'UIBCCBD']"
237,N,['UIBCCBD']
238,N,"['UIBCCBD', 'UIBCCBC']"
239,N,['UIBCCBD']
240,N,['UIBCCBD']
241,N,['UIBCCDB']
242,N,['UIBCCBD']
243,N,"['UIBCCBD', 'UIBCCBC']"
244,N,['UIBCCBD']
245,N,['UIBCCBD']
246,N,['UIBCCDB']
247,N,['UIBCCBD']
248,N,"['UIBCCBB', 'UIBCCBD']"
249,AN,"['UIBCCDB', 'UIBCCDD', 'UIDAABB', 'UIDAABD', 'UIDAADB', 'UIDAADD', 'UIDACBB', 'UIDADAA', 'UIDADAC', 'UIDADAD', 'UIDADAC', 'UIDADAD']"
250,N,"['UIDADAC', 'UIDADAA']"
251,N,"['UIDAADD', 'UIDAADB', 'UIDAABD', 'UIDAABB', 'UIBCCDD', 'UIBCCDB']"
252,N,"['UIADDDD', 'UIBCCBD']"
253,N,"['UIBCCBD', 'UIBCCBC']"
254,N,"['UIADDDD', 'UIBCCBD']"
255,N,['UIBCCBD']
256,N,"['UIBCCDB', 'UIBCCBD', 'UIBCCBC', 'UIBCCBD']"
257,AN,"['VLCCACA', 'VLCCAAC', 'VLCCAAD', 'VLCCAAC', 'VLCCACA', 'VKDDBDB', 'VKDDBDD', 'VKDDDBB']"
