Unnamed: 0,F1,grid_path,DBSCAN output
200,AN,"['VJCACDC', 'VJCCABA', 'VJCCABD', 'VJCCADB', 'VJCCBCA', 'VJCCBCD', 'VJCCBDC', 'VJCCBDD', 'VJCCDBB', 'VJCDCAA', 'VJCDCAC', 'VJCDCCA', 'VJCDCCC', 'UJABAAA', 'UJABAAC', 'UJAABBD', 'UJABAAC', 'UJABACA', 'UJABACC', 'UJABACD', 'UJABCAB', 'UJABCAA', 'UJABCAC', 'UJAADBD', 'UJAADDB', 'UJAADDA', 'UJAADDC', 'UJAADCD', 'UJACBAB', 'UJACBAA', 'UJACABB', 'UJACAAB']",N
201,N,['UIBCCBD'],N
202,N,['UIBCCBD'],N
203,N,['UIBCCBD'],N
204,N,['UIBCCBD'],N
205,N,['UIBCCBD'],N
206,N,['UIBCCBC'],N
207,N,"['UIDAABB', 'UIBCCDA']",N
208,N,['UIBCCBD'],N
209,N,['UIBCCBD'],N
210,N,"['UIBCCBD', 'UIBCCBC']",N
211,N,['UIBCCBD'],N
212,N,"['UIBCCBD', 'UIBCCDB']",N
213,N,"['UIBCCBD', 'UIBCCBC']",N
214,N,"['UIBCCCD', 'UIDAAAB', 'UIDAAAA', 'UIDAAAB', 'UIDAAAD', 'UIDACCB']",N
215,AN,"['TIDBBDD', 'TIDBDBB', 'TIDBDBA', 'TIDBDBB', 'TIDBDBD', 'TIDBDDB', 'TJCACCA', 'TJCACCC', 'TJCCAAB', 'TJCCAAD', 'TJCCABC', 'TJCCADA', 'TJCCADB', 'TJCCADD', 'TJCCCBB', 'TJCCCBD', 'TJCCDAC', 'TJCCDCA', 'TJCCDCC', 'TJCCDCD', 'SJAABAB', 'SJAABBA', 'SJAABBC', 'SJAABBD', 'SJAABDB', 'SJABACA', 'SJABACC', 'SJABCAA', 'SJABCAB', 'SJABCAD', 'SJABCCB', 'SJABCDA', 'SJABCDB', 'SJABCDD', 'SJABDCC', 'SJABDCD', 'SJABDDC', 'SJABDDD', 'SJBACCC', 'SJBACCD', 'SJBCAAB', 'SJBCABA', 'SJBCABB', 'SJBCABD', 'SJBCBAC', 'SJBCBAD', 'SJBCBCB', 'SJBCBDA', 'SJBCBDB', 'SJBDACA', 'SJBDACB', 'SJBDADA', 'SJBDADB', 'SJBDBCA', 'SJBDBCB', 'SJBDBDA', 'SJBDBDB', 'SKACACA', 'SKACAAC', 'SKACAAD', 'SKACABC', 'SKACABD', 'SKACBAC', 'SKACBAD', 'SKACBBC', 'SKACBBD', 'SKADAAC', 'SKADACA', 'SKADACB', 'SKADACD', 'SKADADC', 'SKADCBA', 'SKADCBB', 'SKADDAC', 'SKADDAD', 'SKADDCB', 'SKADDDA', 'SKADDDB', 'SKADDDD', 'SKBCCCC', 'SKDAAAA', 'SKDAAAB', 'SKDAABA', 'SKDAABC', 'SKDAABD', 'SKDABAC']",AN
216,AN,"['SKDBAAA', 'SKDBAAB', 'SKBDCDD', 'RLCBCBA', 'RLCBCAB', 'RLCBCAC', 'RLCBCCC']",AN
217,AN,"['RLCBCBD', 'RLCBDAC']",AN
218,AN,"['RLBADCB', 'RLBADCA']",AN
219,AN,"['TIBDBBA', 'TIBBBBB', 'TIBBAAB', 'UIDDCCC', 'UIDCDDD', 'UIDCDDC', 'TIBABBA', 'TIBABAD', 'TIBABAC', 'TIBABAA', 'UIDCCCB', 'UIDCCAD', 'UIDCCAC', 'UIDCCAB', 'UIDCCAA', 'UICDDBB', 'UICDBDD', 'UIDCAAC']",N
220,N,['UIBCCBD'],N
221,N,['UIBCCBD'],N
222,N,['UIBCCBD'],N
223,N,"['UIBCDAC', 'UIBCCBD']",N
224,N,['UIBCCBD'],N
225,N,['UIBCCDB'],N
226,N,['UIBCCBD'],N
227,N,['UIBCCBD'],N
228,N,['UIBCCDA'],N
229,N,"['UIBCCDB', 'UIBCCBD']",N
230,N,['UIBCCBD'],N
231,N,['UIBCCBD'],N
232,N,['UIDAABD'],N
233,N,"['UIBCCDD', 'UIBCCDB', 'UIBCCBD']",N
234,N,['UIBCCBD'],N
235,N,['UIBCCDB'],N
236,N,"['UIBCCDB', 'UIBCCBD']",N
237,N,['UIBCCBD'],N
238,N,"['UIBCCBD', 'UIBCCBC']",N
239,N,['UIBCCBD'],N
240,N,['UIBCCBD'],N
241,N,['UIBCCDB'],N
242,N,['UIBCCBD'],N
243,N,"['UIBCCBD', 'UIBCCBC']",N
244,N,['UIBCCBD'],N
245,N,['UIBCCBD'],N
246,N,['UIBCCDB'],N
247,N,['UIBCCBD'],N
248,N,"['UIBCCBB', 'UIBCCBD']",N
249,AN,"['UIBCCDB', 'UIBCCDD', 'UIDAABB', 'UIDAABD', 'UIDAADB', 'UIDAADD', 'UIDACBB', 'UIDADAA', 'UIDADAC', 'UIDADAD', 'UIDADAC', 'UIDADAD']",N
250,N,"['UIDADAC', 'UIDADAA']",N
251,N,"['UIDAADD', 'UIDAADB', 'UIDAABD', 'UIDAABB', 'UIBCCDD', 'UIBCCDB']",N
252,N,"['UIADDDD', 'UIBCCBD']",N
253,N,"['UIBCCBD', 'UIBCCBC']",N
254,N,"['UIADDDD', 'UIBCCBD']",N
255,N,['UIBCCBD'],N
256,N,"['UIBCCDB', 'UIBCCBD', 'UIBCCBC', 'UIBCCBD']",N
257,AN,"['VLCCACA', 'VLCCAAC', 'VLCCAAD', 'VLCCAAC', 'VLCCACA', 'VKDDBDB', 'VKDDBDD', 'VKDDDBB']",AN
258,AN,"['VKDDBDD', 'VKDDBDB', 'VLCCACA', 'VLCCAAC', 'VLCCAAD', 'VLCCAAB', 'VLCCABA', 'VLCACDC', 'VLCCABA', 'VLCCAAB', 'VLCCABA']",AN
259,N,"['VLCACDC', 'VLCCABA', 'VLCCAAB', 'VLCCABA', 'VLCCAAB', 'VLCCABA']",AN
260,N,"['VLCCAAB', 'VLCACDC']",AN
261,N,['UIBCCBD'],N
262,N,['UIBCCBD'],N
263,N,['UIBCCBD'],N
264,N,['UIBCCBD'],N
265,N,['UIBCCBD'],N
266,N,"['UIBCCDB', 'UIBCCDA', 'UIBCCDB']",N
267,N,['UIBCCBD'],N
268,N,['UIBCCBD'],N
269,N,['UIBCCBD'],N
270,N,"['UIBCCBD', 'UIBCCBC', 'UIBCCDA']",N
271,AN,"['UIBCCDA', 'UIBCCDB', 'UIBCCDD', 'UIDAABB', 'UIDAABD', 'UIDAADB', 'UIDAADD', 'UIDABCC', 'UIDADAA', 'UIDADAB', 'UIDADBA', 'UIDABDC']",N
272,AN,"['UIDADBA', 'UIDABDC', 'UIDABDA', 'UIDABBC', 'UIDABBA', 'UIBCDDC', 'UIBCDCD', 'UIBCDCC', 'UIBCCDD', 'UIBCCDB', 'UIBCCBD']",N
273,N,['UIBCCBD'],N
274,N,['UIBCCBD'],N
275,N,['UIBCCBD'],N
276,N,['UIBCCBD'],N
277,N,['UIBCCBD'],N
278,N,['UIBCCBD'],N
279,N,"['UIBCCBD', 'UIBCCBC']",N
280,N,['UIBCCBD'],N
281,N,['UIBCCBD'],N
282,N,['UIBCCDB'],N
283,N,"['UIBCCDB', 'UIBCCBD']",N
284,N,['UIBCCBD'],N
285,N,"['UIBCCBD', 'UIBCCDB', 'UIBCCDD', 'UIDAABB', 'UIDAABD']",N
286,N,['UIDAABD'],N
287,N,"['UIDAABD', 'UIDAABB', 'UIBCCDD', 'UIBCCDB', 'UIBCCDA']",N
288,AN,"['TJADBBD', 'TJABDDD']",AN
289,N,['UIBCCBD'],N
290,N,['UIBCCBD'],N
291,N,['UIBCCBD'],N
292,N,['UIBCCBD'],N
293,N,['UIBCCBD'],N
294,N,"['UIBCCAD', 'UIBCCCB']",N
295,N,"['UIBCCAD', 'UIBCCBC', 'UIBCCBD']",N
296,N,['UIBCCBD'],N
297,N,['UIBCCBD'],N
298,N,['UIBCCBD'],N
299,N,['UIBCCBD'],N
300,N,['UIBCCDB'],N
301,N,['UIBCCBD'],N
302,N,['UIBCCDB'],N
303,N,"['UIBCCBD', 'UIBCCDB', 'UIBCCBD']",N
304,AN,"['UKCCCBD', 'UKCCCBC', 'UKCCCDA', 'UKCCCCB', 'UKCCCCC', 'UKCCCCD']",AN
305,AN,"['UIDABDC', 'UIDABDA', 'UIDABBC', 'UIDABBA', 'UIBCDDC', 'UIBCDCD', 'UIBCDCC', 'UIBCCDD', 'UIBCCDB', 'UIBCCDA', 'UIBCCCB', 'UIBCCAD', 'UIBCCBC', 'UIBCCBD']",N
306,N,"['UIBCCBD', 'UIBCCBC']",N
307,N,['UIBCCBD'],N
308,N,"['UIBCCBC', 'UIBCCDA']",N
309,N,"['UIBCCBC', 'UIBCCBD']",N
310,N,['UIBCCBD'],N
311,N,['UIBCCBD'],N
312,N,"['UIBCCDB', 'UIBCCDA', 'UIBCCDB']",N
313,N,"['UIBCCDB', 'UIBCCBD']",N
314,N,['UIBCCBD'],N
315,N,['UIBCCBD'],N
316,N,['UIBCCBD'],N
317,N,['UIBCCBD'],N
318,N,['UIBCCDB'],N
319,N,['UIBCCDB'],N
320,N,['UIBCCBD'],N
321,N,['UIBCCBD'],N
322,N,['UIBCCBD'],N
323,N,['UIBCCBD'],N
324,N,['UIBCCBD'],N
325,N,"['UIBCDAA', 'UIBCCBD']",N
326,N,"['UIBCCBD', 'UIBCCDB']",N
327,N,"['UIBCCBD', 'UIBCCBB']",N
328,N,['UIBCCBD'],N
329,N,['UIBCCBD'],N
330,N,['UIBCCBD'],N
